,date,beer
0,2008-01-01,89
1,2008-01-02,47
2,2008-01-03,76
3,2008-01-04,45
4,2008-01-05,82
5,2008-01-06,36
6,2008-01-07,64
7,2008-01-08,58
8,2008-01-09,42
9,2008-01-10,70
10,2008-01-11,60
11,2008-01-12,73
12,2008-01-13,72
13,2008-01-14,61
14,2008-01-15,53
15,2008-01-16,30
16,2008-01-17,60
17,2008-01-18,66
18,2008-01-19,84
19,2008-01-20,96
20,2008-01-21,69
21,2008-01-22,53
22,2008-01-23,67
23,2008-01-24,54
24,2008-01-25,100
25,2008-01-26,62
26,2008-01-27,70
27,2008-01-28,54
28,2008-01-29,63
29,2008-01-30,50
30,2008-01-31,71
0,2008-02-01,78
1,2008-02-02,69
2,2008-02-03,71
3,2008-02-04,82
4,2008-02-05,70
5,2008-02-06,70
6,2008-02-07,38
7,2008-02-08,70
8,2008-02-09,86
9,2008-02-10,75
10,2008-02-11,65
11,2008-02-12,82
12,2008-02-13,70
13,2008-02-14,52
14,2008-02-15,66
15,2008-02-16,81
16,2008-02-17,48
17,2008-02-18,62
18,2008-02-19,67
19,2008-02-20,62
20,2008-02-21,65
21,2008-02-22,68
22,2008-02-23,100
23,2008-02-24,38
24,2008-02-25,72
25,2008-02-26,59
26,2008-02-27,91
27,2008-02-28,89
28,2008-02-29,88
0,2008-03-01,74
1,2008-03-02,77
2,2008-03-03,86
3,2008-03-04,79
4,2008-03-05,66
5,2008-03-06,73
6,2008-03-07,57
7,2008-03-08,62
8,2008-03-09,97
9,2008-03-10,78
10,2008-03-11,63
11,2008-03-12,77
12,2008-03-13,86
13,2008-03-14,79
14,2008-03-15,61
15,2008-03-16,82
16,2008-03-17,100
17,2008-03-18,69
18,2008-03-19,67
19,2008-03-20,82
20,2008-03-21,96
21,2008-03-22,83
22,2008-03-23,69
23,2008-03-24,86
24,2008-03-25,55
25,2008-03-26,72
26,2008-03-27,86
27,2008-03-28,95
28,2008-03-29,81
29,2008-03-30,65
30,2008-03-31,71
0,2008-04-01,86
1,2008-04-02,57
2,2008-04-03,53
3,2008-04-04,66
4,2008-04-05,40
5,2008-04-06,76
6,2008-04-07,54
7,2008-04-08,63
8,2008-04-09,80
9,2008-04-10,44
10,2008-04-11,72
11,2008-04-12,100
12,2008-04-13,64
13,2008-04-14,72
14,2008-04-15,70
15,2008-04-16,42
16,2008-04-17,71
17,2008-04-18,77
18,2008-04-19,61
19,2008-04-20,67
20,2008-04-21,92
21,2008-04-22,78
22,2008-04-23,64
23,2008-04-24,68
24,2008-04-25,53
25,2008-04-26,55
26,2008-04-27,77
27,2008-04-28,77
28,2008-04-29,57
29,2008-04-30,90
0,2008-05-01,68
1,2008-05-02,97
2,2008-05-03,65
3,2008-05-04,28
4,2008-05-05,49
5,2008-05-06,72
6,2008-05-07,62
7,2008-05-08,79
8,2008-05-09,64
9,2008-05-10,80
10,2008-05-11,100
11,2008-05-12,42
12,2008-05-13,71
13,2008-05-14,59
14,2008-05-15,67
15,2008-05-16,52
16,2008-05-17,87
17,2008-05-18,39
18,2008-05-19,42
19,2008-05-20,50
20,2008-05-21,40
21,2008-05-22,56
22,2008-05-23,75
23,2008-05-24,56
24,2008-05-25,60
25,2008-05-26,78
26,2008-05-27,41
27,2008-05-28,47
28,2008-05-29,43
29,2008-05-30,43
30,2008-05-31,70
0,2008-06-01,92
1,2008-06-02,63
2,2008-06-03,84
3,2008-06-04,46
4,2008-06-05,74
5,2008-06-06,53
6,2008-06-07,46
7,2008-06-08,70
8,2008-06-09,57
9,2008-06-10,80
10,2008-06-11,64
11,2008-06-12,49
12,2008-06-13,87
13,2008-06-14,100
14,2008-06-15,46
15,2008-06-16,61
16,2008-06-17,50
17,2008-06-18,68
18,2008-06-19,80
19,2008-06-20,42
20,2008-06-21,89
21,2008-06-22,51
22,2008-06-23,64
23,2008-06-24,54
24,2008-06-25,66
25,2008-06-26,63
