,beer,TIMESTAMP,Month,day_of_week,is_weekend,Winter,Spring,Summer,Fall,actual_beer_sold
0,89,1199145600,1,1,0,1,0,0,0,53.0
1,47,1199232000,1,2,0,1,0,0,0,28.0
2,76,1199318400,1,3,0,1,0,0,0,44.0
3,45,1199404800,1,4,0,1,0,0,0,24.0
4,82,1199491200,1,5,1,1,0,0,0,43.0
5,36,1199577600,1,6,1,1,0,0,0,17.0
6,64,1199664000,1,0,0,1,0,0,0,32.0
7,58,1199750400,1,1,0,1,0,0,0,27.0
8,42,1199836800,1,2,0,1,0,0,0,23.0
9,70,1199923200,1,3,0,1,0,0,0,27.0
10,60,1200009600,1,4,0,1,0,0,0,30.0
11,73,1200096000,1,5,1,1,0,0,0,24.0
12,72,1200182400,1,6,1,1,0,0,0,38.0
13,61,1200268800,1,0,0,1,0,0,0,31.0
14,53,1200355200,1,1,0,1,0,0,0,14.0
15,30,1200441600,1,2,0,1,0,0,0,11.0
16,60,1200528000,1,3,0,1,0,0,0,36.0
17,66,1200614400,1,4,0,1,0,0,0,36.0
18,84,1200700800,1,5,1,1,0,0,0,42.0
19,96,1200787200,1,6,1,1,0,0,0,52.0
20,69,1200873600,1,0,0,1,0,0,0,41.0
21,53,1200960000,1,1,0,1,0,0,0,26.0
22,67,1201046400,1,2,0,1,0,0,0,35.0
23,54,1201132800,1,3,0,1,0,0,0,25.0
24,100,1201219200,1,4,0,1,0,0,0,54.0
25,62,1201305600,1,5,1,1,0,0,0,29.0
26,70,1201392000,1,6,1,1,0,0,0,35.0
27,54,1201478400,1,0,0,1,0,0,0,33.0
28,63,1201564800,1,1,0,1,0,0,0,33.0
29,50,1201651200,1,2,0,1,0,0,0,20.0
30,71,1201737600,1,3,0,1,0,0,0,36.0
31,78,1201824000,2,4,0,1,0,0,0,40.0
32,69,1201910400,2,5,1,1,0,0,0,41.0
33,71,1201996800,2,6,1,1,0,0,0,43.0
34,82,1202083200,2,0,0,1,0,0,0,41.0
35,70,1202169600,2,1,0,1,0,0,0,39.0
36,70,1202256000,2,2,0,1,0,0,0,31.0
37,38,1202342400,2,3,0,1,0,0,0,20.0
38,70,1202428800,2,4,0,1,0,0,0,45.0
39,86,1202515200,2,5,1,1,0,0,0,47.0
40,75,1202601600,2,6,1,1,0,0,0,34.0
41,65,1202688000,2,0,0,1,0,0,0,29.0
42,82,1202774400,2,1,0,1,0,0,0,41.0
43,70,1202860800,2,2,0,1,0,0,0,27.0
44,52,1202947200,2,3,0,1,0,0,0,32.0
45,66,1203033600,2,4,0,1,0,0,0,30.0
46,81,1203120000,2,5,1,1,0,0,0,35.0
47,48,1203206400,2,6,1,1,0,0,0,30.0
48,62,1203292800,2,0,0,1,0,0,0,18.0
49,67,1203379200,2,1,0,1,0,0,0,31.0
50,62,1203465600,2,2,0,1,0,0,0,42.0
51,65,1203552000,2,3,0,1,0,0,0,34.0
52,68,1203638400,2,4,0,1,0,0,0,37.0
53,100,1203724800,2,5,1,1,0,0,0,54.0
54,38,1203811200,2,6,1,1,0,0,0,17.0
55,72,1203897600,2,0,0,1,0,0,0,31.0
56,59,1203984000,2,1,0,1,0,0,0,27.0
57,91,1204070400,2,2,0,1,0,0,0,51.0
58,89,1204156800,2,3,0,1,0,0,0,46.0
59,88,1204243200,2,4,0,0,1,0,0,41.0
60,74,1204329600,3,5,1,0,1,0,0,43.0
61,77,1204416000,3,6,1,0,1,0,0,37.0
62,86,1204502400,3,0,0,0,1,0,0,37.0
63,79,1204588800,3,1,0,0,1,0,0,37.0
64,66,1204675200,3,2,0,0,1,0,0,34.0
65,73,1204761600,3,3,0,0,1,0,0,33.0
66,57,1204848000,3,4,0,0,1,0,0,28.0
67,62,1204934400,3,5,1,0,1,0,0,34.0
68,97,1205020800,3,6,1,0,1,0,0,50.0
69,78,1205107200,3,0,0,0,1,0,0,38.0
70,63,1205193600,3,1,0,0,1,0,0,35.0
71,77,1205280000,3,2,0,0,1,0,0,46.0
72,86,1205366400,3,3,0,0,1,0,0,44.0
73,79,1205452800,3,4,0,0,1,0,0,42.0
74,61,1205539200,3,5,1,0,1,0,0,29.0
75,82,1205625600,3,6,1,0,1,0,0,37.0
76,100,1205712000,3,0,0,0,1,0,0,55.0
77,69,1205798400,3,1,0,0,1,0,0,24.0
78,67,1205884800,3,2,0,0,1,0,0,28.0
79,82,1205971200,3,3,0,0,1,0,0,41.0
80,96,1206057600,3,4,0,0,1,0,0,42.0
81,83,1206144000,3,5,1,0,1,0,0,42.0
82,69,1206230400,3,6,1,0,1,0,0,33.0
83,86,1206316800,3,0,0,0,1,0,0,38.0
84,55,1206403200,3,1,0,0,1,0,0,22.0
85,72,1206489600,3,2,0,0,1,0,0,42.0
86,86,1206576000,3,3,0,0,1,0,0,48.0
87,95,1206662400,3,4,0,0,1,0,0,51.0
88,81,1206748800,3,5,1,0,1,0,0,38.0
89,65,1206835200,3,6,1,0,1,0,0,31.0
90,71,1206921600,3,0,0,0,1,0,0,36.0
91,86,1207008000,4,1,0,0,1,0,0,37.0
92,57,1207094400,4,2,0,0,1,0,0,30.0
93,53,1207180800,4,3,0,0,1,0,0,20.0
94,66,1207267200,4,4,0,0,1,0,0,41.0
95,40,1207353600,4,5,1,0,1,0,0,17.0
96,76,1207440000,4,6,1,0,1,0,0,34.0
97,54,1207526400,4,0,0,0,1,0,0,31.0
98,63,1207612800,4,1,0,0,1,0,0,29.0
99,80,1207699200,4,2,0,0,1,0,0,34.0
100,44,1207785600,4,3,0,0,1,0,0,21.0
101,72,1207872000,4,4,0,0,1,0,0,29.0
102,100,1207958400,4,5,1,0,1,0,0,45.0
103,64,1208044800,4,6,1,0,1,0,0,39.0
104,72,1208131200,4,0,0,0,1,0,0,35.0
105,70,1208217600,4,1,0,0,1,0,0,35.0
106,42,1208304000,4,2,0,0,1,0,0,14.0
107,71,1208390400,4,3,0,0,1,0,0,39.0
108,77,1208476800,4,4,0,0,1,0,0,31.0
109,61,1208563200,4,5,1,0,1,0,0,32.0
110,67,1208649600,4,6,1,0,1,0,0,33.0
111,92,1208736000,4,0,0,0,1,0,0,50.0
112,78,1208822400,4,1,0,0,1,0,0,42.0
113,64,1208908800,4,2,0,0,1,0,0,33.0
114,68,1208995200,4,3,0,0,1,0,0,34.0
115,53,1209081600,4,4,0,0,1,0,0,24.0
116,55,1209168000,4,5,1,0,1,0,0,28.0
117,77,1209254400,4,6,1,0,1,0,0,32.0
118,77,1209340800,4,0,0,0,1,0,0,44.0
119,57,1209427200,4,1,0,0,1,0,0,35.0
120,90,1209513600,4,2,0,0,1,0,0,45.0
121,68,1209600000,5,3,0,0,1,0,0,33.0
122,97,1209686400,5,4,0,0,1,0,0,52.0
123,65,1209772800,5,5,1,0,1,0,0,32.0
124,28,1209859200,5,6,1,0,1,0,0,-2.0
125,49,1209945600,5,0,0,0,1,0,0,26.0
126,72,1210032000,5,1,0,0,1,0,0,34.0
127,62,1210118400,5,2,0,0,1,0,0,28.0
128,79,1210204800,5,3,0,0,1,0,0,34.0
129,64,1210291200,5,4,0,0,1,0,0,32.0
130,80,1210377600,5,5,1,0,1,0,0,36.0
131,100,1210464000,5,6,1,0,1,0,0,38.0
132,42,1210550400,5,0,0,0,1,0,0,23.0
133,71,1210636800,5,1,0,0,1,0,0,28.0
134,59,1210723200,5,2,0,0,1,0,0,32.0
135,67,1210809600,5,3,0,0,1,0,0,29.0
136,52,1210896000,5,4,0,0,1,0,0,27.0
137,87,1210982400,5,5,1,0,1,0,0,37.0
138,39,1211068800,5,6,1,0,1,0,0,26.0
139,42,1211155200,5,0,0,0,1,0,0,25.0
140,50,1211241600,5,1,0,0,1,0,0,29.0
141,40,1211328000,5,2,0,0,1,0,0,12.0
142,56,1211414400,5,3,0,0,1,0,0,34.0
143,75,1211500800,5,4,0,0,1,0,0,37.0
144,56,1211587200,5,5,1,0,1,0,0,27.0
145,60,1211673600,5,6,1,0,1,0,0,28.0
146,78,1211760000,5,0,0,0,1,0,0,40.0
147,41,1211846400,5,1,0,0,1,0,0,26.0
148,47,1211932800,5,2,0,0,1,0,0,21.0
149,43,1212019200,5,3,0,0,1,0,0,14.0
150,43,1212105600,5,4,0,0,1,0,0,16.0
151,70,1212192000,5,5,1,0,1,0,0,27.0
