"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-01","57","65","52"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-02","58","66","50"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-03","58","72","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-04","58","68","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-05","49","70","33"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-06","42","51","35"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-07","46","60","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-08","56","66","38"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-09","57","72","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-10","40","45","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-11","32","43","23"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-12","32","45","24"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-13","35","48","23"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-14","34","40","27"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-15","40","53","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-16","48","59","38"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-17","54","63","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-18","52","63","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-19","53","63","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-20","54","65","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-21","57","67","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-22","54","66","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-23","60","71","50"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-24","51","58","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-25","50","53","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-26","55","67","49"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-27","45","53","35"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-28","37","47","30"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-29","43","61","28"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-30","50","64","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-01-31","54","67","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-01","54","67","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-02","56","63","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-03","54","68","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-04","53","70","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-05","51","71","35"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-06","48","66","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-07","46","65","29"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-08","38","45","30"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-09","37","51","26"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-10","38","55","25"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-11","40","52","29"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-12","41","57","27"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-14","62","66","50"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-15","50","68","-32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-16","53","67","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-17","51","70","35"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-18","44","64","30"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-19","42","51","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-20","40","54","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-21","34","52","-32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-22","40","63","-32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-23","51","65","-32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-24","34","52","-32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-25","61","69","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-26","53","63","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-27","47","62","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-02-28","61","69","56"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-01","59","73","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-02","73","80","63"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-03","67","68","66"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-04","53","71","39"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-05","58","69","39"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-06","53","57","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-07","36","51","-32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-08","44","46","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-09","49","60","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-10","54","67","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-11","62","77","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-12","59","81","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","2013-03-13","77","84","67"
